LoanId,LoanType,RunDt,LoanStatus,CurrentPrincipalBalanceAmt,InvestorId,DelinquentPaymentCount,InterestPaidToDt,PropertyState,Source,SETTLE_DATE,DAYS360_DAYS,ACCRUED_INTEREST,price_b1 X UPB,(price_b1 X UPB) + Accrued Interest,price_b1,price_b3,price_b7,price_b4,price_b6,price_b5,price_b3 X UPB,price_b7 X UPB,price_b4 X UPB,price_b6 X UPB,price_b5 X UPB,FLAG_B1,FLAG_B2,FLAG_B3,FLAG_B7,FLAG_B4,FLAG_A1,FLAG_A2,FLAG_B5,NEC_B1,NEC_B2,NEC_B3,NEC_B7,NEC_B4,NEC_B6,NEC_B8,NEC_B5,TIMES_ALLOCATED,TOTAL_VA_USDA,MAX_NEC,Pool,POOL_CD_UPB,POOL_AB_UPB,price_b6 x POOL_AB_UPB,DelinquentPaymentCount x UPB,b6_pool1_upb,price_b6 x b6_pool1_upb,b6_pool2_upb,price_b6 x b6_pool2_upb,b6_Pool_Flag,Flag,Original_Variable,B1_ALLOCATION,B2_ALLOCATION,B3_ALLOCATION,B7_ALLOCATION,B4_ALLOCATION,B6_ALLOCATION,B8_ALLOCATION,B5_ALLOCATION
3653,USDA,1/14/2022,Foreclosure,197914.31,406,22,3/1/2020,GA,GNMA,2/1/2022,690,11380.07283,0,11380.07283,0,0.980877351,0,0.952434371,0,0,194129.6641,0,188500.3914,0,0,0,0,0,0,0,0,0,0,0,0,-2454.95,0,-8084.22,0,0,0,0,197914.31,NONE,D,197914.31,0,0,4354114.82,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3654,VA,1/14/2022,120 Days Delinquent,206222.06,406,25,12/1/2019,CO,GNMA,2/1/2022,780,13404.4339,204877.0095,218281.4434,0.993477659,0.983079493,0,0.982475988,0,0,202732.6783,0,202608.2221,0,0,0,0,0,0,0,0,0,0,-1125.62,-1125.62,-3269.95,0,-3394.41,0,0,0,0,206222.06,NONE,D,206222.06,0,0,5155551.5,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3655,VA,1/14/2022,120 Days Delinquent,61226.56,412,25,12/1/2019,VA,GNMA,2/1/2022,780,3979.7264,60692.92426,64672.65066,0.991284244,0,0,0.995100292,0,0,0,0,60926.56771,0,0,0,0,0,0,0,0,0,0,-531.8,-531.8,0,0,-298.15,0,0,0,0,61226.56,NONE,D,61226.56,0,0,1530664,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3656,FHA,1/14/2022,60 Days Delinquent,232571.97,407,3,10/1/2021,MD,GNMA,2/1/2022,120,2713.33965,232937.5032,235650.8429,1.001571699,0.989918472,0,1.005051723,0,1.008574537,230227.2891,0,233746.8592,0,234566.167,1,1,0,0,1,0,0,1,618.2,618.2,-2092.02,0,1427.55,0,0,2246.86,3,0,NEC_B5,A,0,232571.97,0,697715.91,0,0,0,0,UNK,1,B5_Selector_3656,0,0,0,0,0,0,0,1
3657,FHA,1/14/2022,60 Days Delinquent,200990.98,426,3,10/1/2021,TX,GNMA,2/1/2022,120,2009.9098,200338.6174,202348.5272,0.996754269,0,0,0.992743663,0,0,0,0,199532.5217,0,0,1,1,0,0,0,0,0,0,336.88,336.88,0,0,-469.21,0,0,0,2,0,NEC_B1,A,0,200990.98,0,602972.94,0,0,0,0,UNK,1,B1_Selector_3657,1,0,0,0,0,0,0,0
3658,VA,1/14/2022,120 Days Delinquent,260795.73,407,19,6/1/2020,VA,GNMA,2/1/2022,600,13039.7865,261100.2241,274140.0106,1.001167558,0.992378398,0,0.964320643,0,0,258808.0488,0,251490.7061,0,0,1,1,0,0,0,0,0,0,1880.55,1880.55,-411.63,0,-7728.97,0,0,0,2,260795.73,NEC_B1,D,260795.73,0,0,4955118.87,0,0,0,0,UNK,1,B2_Selector_3658,0,1,0,0,0,0,0,0
3659,USDA,1/14/2022,120 Days Delinquent,108470.6,406,14,11/1/2020,IA,GNMA,2/1/2022,450,4067.6475,108358.9999,112426.6474,0.998971149,0.985096071,0,0.991946966,0,0,106853.9619,0,107597.0825,0,0,0,0,0,0,0,0,0,0,-480.35,0,-1985.38,0,-1242.26,0,0,0,0,108470.6,NONE,D,108470.6,0,0,1518588.4,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3660,FHA,1/14/2022,60 Days Delinquent,102901.27,406,3,10/1/2021,NY,GNMA,2/1/2022,120,1200.514817,100978.284,102178.7989,0.98131232,0.974663593,0,1.000537609,0,0,100294.1215,0,102956.5907,0,0,0,0,0,0,1,0,0,0,-1119.18,-1119.18,-1803.34,0,859.13,0,0,0,1,0,NEC_B4,A,0,102901.27,0,308703.81,0,0,0,0,UNK,1,B4_Selector_3660,0,0,0,0,1,0,0,0
3661,VA,1/14/2022,120 Days Delinquent,187277.51,421,19,6/1/2020,NC,GNMA,2/1/2022,600,9363.8755,186876.3218,196240.1973,0.997857787,0,0,0.976146609,0,0,0,0,182810.3062,0,0,1,1,0,0,0,0,0,0,533.77,533.77,0,0,-3532.24,0,0,0,2,187277.51,NEC_B1,D,187277.51,0,0,3558272.69,0,0,0,0,UNK,1,B2_Selector_3661,0,1,0,0,0,0,0,0
3662,VA,1/14/2022,120 Days Delinquent,313102.09,406,21,4/1/2020,NY,GNMA,2/1/2022,660,17220.61495,303176.0445,320396.6595,0.968297735,0.971268521,0,0,0,0,304106.2038,0,0,0,0,0,0,0,0,0,0,0,0,-9563.83,-9563.83,-8633.67,0,0,0,0,0,0,313102.09,NONE,D,313102.09,0,0,6575143.89,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
